timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1572493368,17986872,356.0,356.0,356.0,12.43,3.95,56.66,82.77,128.97,128.97,0.00,17989716,425.0,425.0,425.0,13.06,4.57,56.43,92.73,119.08,119.08,0.00353
1572493369,17987342,470.0,470.0,470.0,13.02,4.80,71.89,90.11,205.65,205.65,0.00,17990023,307.0,307.0,307.0,12.15,4.32,58.49,103.42,135.92,135.92,0.00353
1572493370,17987763,421.0,421.0,421.0,13.37,4.80,65.27,99.09,147.46,147.46,0.00,17990364,341.0,341.0,341.0,13.27,5.10,67.76,111.48,121.18,121.18,0.00353
1572493371,17988198,435.0,435.0,435.0,12.42,5.51,52.49,79.10,97.71,97.71,0.00,17990715,351.0,351.0,351.0,13.05,5.98,51.77,73.14,122.29,122.29,0.00353
1572493372,17988620,422.0,422.0,422.0,11.68,5.67,40.96,104.86,140.25,140.25,0.00,17991139,424.0,424.0,424.0,11.75,4.98,48.14,118.55,155.32,155.32,0.00353
1572493373,17989023,403.0,403.0,403.0,10.93,4.44,53.41,85.46,174.85,174.85,0.00,17991497,358.0,358.0,358.0,15.10,4.81,73.79,167.12,175.11,175.11,0.00353
1572493374,17989447,424.0,424.0,424.0,12.66,5.99,52.76,160.56,194.90,194.90,0.00,17991903,406.0,406.0,406.0,10.59,5.10,29.75,124.78,182.19,182.19,0.00353
1572493375,17989880,433.0,433.0,433.0,12.77,6.67,38.31,123.93,143.39,143.39,0.00,17992317,414.0,414.0,414.0,12.07,6.62,36.86,95.49,144.18,144.18,0.00353
1572493376,17990341,461.0,461.0,461.0,10.71,4.61,49.48,97.58,108.27,108.27,0.00,17992667,350.0,350.0,350.0,13.13,6.35,55.25,86.84,105.12,105.12,0.00353
1572493377,17990866,525.0,525.0,525.0,11.50,5.23,49.77,96.67,105.91,280.76,0.00,17992996,329.0,329.0,329.0,12.68,5.83,50.86,95.42,154.14,154.14,0.00353
1572493378,17991250,384.0,384.0,384.0,12.80,6.10,50.86,111.74,156.63,156.63,0.00,17993438,442.0,442.0,442.0,11.95,5.79,48.04,114.62,161.74,161.74,0.00353
1572493379,17991597,347.0,347.0,347.0,15.23,5.32,73.14,111.21,131.66,131.66,0.00,17993813,375.0,375.0,375.0,11.51,4.96,57.44,97.78,115.87,115.87,0.00353
1572493380,17992094,497.0,497.0,497.0,11.59,4.18,57.25,101.65,146.28,146.28,0.00,17994188,375.0,375.0,375.0,12.14,4.33,59.24,95.16,217.58,217.58,0.00353
1572493381,17992511,417.0,417.0,417.0,12.42,4.73,57.25,86.57,148.11,148.11,0.00,17994567,379.0,379.0,379.0,12.88,6.17,51.28,79.56,150.99,150.99,0.00353
1572493382,17992908,397.0,397.0,397.0,11.04,4.71,44.66,83.89,118.49,118.49,0.00,17995017,450.0,450.0,450.0,12.52,5.36,59.80,95.94,110.30,110.30,0.00353
1572493383,17993240,332.0,332.0,332.0,14.08,5.99,56.26,95.81,104.79,104.79,0.00,17995467,450.0,450.0,450.0,11.09,4.06,49.35,89.92,148.24,148.24,0.00353
1572493384,17993586,346.0,346.0,346.0,13.95,4.26,55.48,157.68,260.83,260.83,0.00,17995875,408.0,408.0,408.0,13.31,5.84,52.85,88.74,236.32,236.32,0.00353
