timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1572471768,960,960.0,960.0,960.0,4.11,2.58,10.67,27.97,85.33,86.05,0.00,937,937.0,937.0,937.0,4.66,2.65,12.57,63.37,82.05,90.83,0.00000
1572471769,2071,1111.0,1111.0,1111.0,3.77,1.70,8.49,77.40,115.02,118.23,0.08,2109,1172.0,1172.0,1172.0,4.78,1.99,12.33,87.75,118.36,123.60,0.07814
1572471770,3608,1537.0,1537.0,1537.0,3.20,1.39,7.88,57.05,70.45,71.04,0.11,3640,1531.0,1531.0,1531.0,3.36,1.60,8.47,41.39,67.01,71.43,0.10807
1572471771,5298,1690.0,1690.0,1690.0,2.83,1.61,7.87,19.04,60.03,61.67,0.10,5322,1682.0,1682.0,1682.0,3.05,1.61,8.67,27.87,60.10,61.18,0.10184
1572471772,6757,1459.0,1459.0,1459.0,3.39,1.62,7.79,62.16,93.19,95.22,0.08,6668,1346.0,1346.0,1346.0,3.71,1.80,9.54,64.36,84.28,96.73,0.08131
1572471773,8434,1677.0,1677.0,1677.0,3.34,1.21,9.04,47.25,79.23,206.31,0.08,8099,1431.0,1431.0,1431.0,3.02,1.38,8.98,19.38,70.45,77.07,0.08012
1572471774,10004,1570.0,1570.0,1570.0,3.16,1.61,7.07,51.45,69.27,204.87,0.07,9556,1457.0,1457.0,1457.0,3.34,1.77,8.21,52.20,63.24,69.60,0.07261
1572471775,11309,1305.0,1305.0,1305.0,3.30,1.80,9.06,24.54,81.53,89.59,0.07,10759,1203.0,1203.0,1203.0,4.60,2.19,13.89,58.00,87.69,90.51,0.06673
1572471776,12400,1091.0,1091.0,1091.0,4.11,2.35,9.81,40.86,103.09,105.91,0.06,12040,1281.0,1281.0,1281.0,4.34,2.66,10.09,44.53,103.02,106.69,0.06262
1572471777,13535,1135.0,1135.0,1135.0,4.63,2.40,11.19,69.86,78.77,213.65,0.06,13225,1185.0,1185.0,1185.0,4.08,2.56,9.01,24.72,79.23,81.20,0.05679
1572471778,14567,1032.0,1032.0,1032.0,4.71,2.42,9.89,66.55,201.46,210.89,0.05,14226,1001.0,1001.0,1001.0,5.11,2.25,13.34,64.75,73.33,79.95,0.05433
1572471779,15605,1038.0,1038.0,1038.0,4.43,2.55,12.08,50.99,87.43,92.86,0.05,15437,1211.0,1211.0,1211.0,4.40,2.26,11.84,53.05,97.78,111.28,0.05224
1572471780,16654,1049.0,1049.0,1049.0,4.64,2.01,13.34,71.57,82.77,210.24,0.05,16550,1113.0,1113.0,1113.0,4.62,2.41,12.57,63.80,87.82,92.86,0.04895
1572471781,17678,1024.0,1024.0,1024.0,4.21,2.36,10.44,57.77,76.61,80.81,0.05,17713,1163.0,1163.0,1163.0,4.61,2.75,11.46,55.25,78.64,82.18,0.04813
1572471782,19035,1357.0,1357.0,1357.0,4.03,2.79,8.91,25.25,70.78,70.98,0.05,18818,1105.0,1105.0,1105.0,4.36,2.87,9.14,61.60,73.92,84.34,0.04548
1572471783,20211,1176.0,1176.0,1176.0,4.11,2.44,10.26,43.48,70.78,71.17,0.04,20077,1259.0,1259.0,1259.0,4.04,2.50,10.65,38.37,65.14,70.06,0.04334
1572471784,21252,1041.0,1041.0,1041.0,4.46,2.11,9.82,59.93,209.19,215.48,0.04,21238,1161.0,1161.0,1161.0,4.62,2.13,9.54,64.36,207.75,208.27,0.04090
