timestamp,2508bc72784db0cccfe2abaf21a2901348296118,54ba643ef1116d7de67d918e35e22f494408dab7,6b8b348220e0880d2d4bb373cd58ac920cc08fa0,7726551a4b5861acf9598b03f676222f5d10656d,77fc3393c6c6e0a2487422886363667aee953244,7ce37b95947d27775788beaa9899ea94c888434c,7d974f90a51f05d222dde08dce86c9e3220769e7,830ca47eee5b372f4c0f1810ac25d7b4c687fbbf,87d2bad4e28fc42e03ceae8dc6e5675821d5aadd,893954923fa66520873628280b7e20a95de291ff,bd16f55214f3705f14fd6de7c8557b8ebfe4aae4,c73c5108f02c607efae152105ab1440c9c865fae,c8e285be7dac4c97654ab58d67840adbc9c69400,dd63669428e95c07519e072b058e775c54c5a688,e1d57830999309ddcd17736d7b05a3ba4b8ed532
1570922160,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922161,151,38,45,44,147,40,148,37,44,43,37,40,41,152,1.0000330447845458
1570922162,150,39,46,45,150,40,150,37,44,44,38,41,42,156,1.0000330447845458
1570922163,150,39,46,45,149,40,150,37,44,44,38,41,42,154,1.0000330447845458
1570922164,150,39,46,45,149,40,152,37,44,44,38,41,42,154,1.0000330447845458
1570922165,150,39,46,45,149,40,150,37,44,44,38,41,42,154,1.0000330447845458
1570922166,148,39,46,44,149,39,148,36,43,44,37,40,42,154,1.0000330447845458
1570922167,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922168,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922169,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922170,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922171,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922172,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922173,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922174,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922175,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922176,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922177,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922178,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922179,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922180,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922181,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922182,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922183,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922184,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922185,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922186,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922187,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922188,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922189,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922190,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922191,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922192,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922193,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922194,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922195,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922196,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922197,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
